,ID,Channel,Title,Duration,Release Date,Views,Likes,Comments
39,Ckya-wZbII0,NCT 127,[#4Ket] NCT 127_0 Mile #YUTA,00:03:27,2017-06-30 09:00:00,17607,2026,58
40,1GR__K_P4Ww,NCT 127,[#4Ket] NCT 127_0 Mile #DOYOUNG,00:03:26,2017-06-30 09:00:01,6981,1188,27
41,9oLrS0bfS1k,NCT 127,[#4Ket] NCT 127_0 Mile #JAEHYUN,00:03:27,2017-06-30 09:00:02,10801,1488,22
42,stM3YqpBrmk,NCT 127,[#4Ket] NCT 127_0 Mile #JOHNNY,00:03:26,2017-06-30 09:00:04,6002,1097,30
43,nyugoZ9Y3oI,NCT 127,[#4Ket] NCT 127_0 Mile,00:03:27,2017-06-30 09:00:04,20222,2333,43
44,g0443ZBGckw,NCT 127,[#4Ket] NCT 127_0 Mile #HAECHAN,00:03:26,2017-06-30 09:00:04,8206,1319,39
45,yxgfvLDH8SY,NCT 127,[#4Ket] NCT 127_0 Mile #TAEYONG,00:03:27,2017-06-30 09:00:06,11250,1545,39
46,b2gpKBWVwcY,NCT 127,[#4Ket] NCT 127_0 Mile #WINWIN,00:03:29,2017-06-30 09:00:06,8118,1288,42
47,gfbRLbMuGSs,SMTOWN,[STATION] 시우민 X 마크 'Young & Free' MV,00:04:17,2017-07-07 09:02:44,7640141,605735,24904
48,wFPd3eN64mc,SMTOWN,[STATION] 박재정 X 마크 'Lemonade Love' MV,00:03:25,2017-07-21 03:00:01,2301468,168528,5259
49,Fila4yLICUE,SMTOWN,[STATION] 유영진 X 태용 (TAEYONG) '함께 (Cure)' MV,00:04:32,2017-08-05 03:00:00,3320316,224018,8370
50,fjYM3lnV6Kc,SMTOWN,NCT DREAM 엔시티 드림 'We Young (青春漾) (Chinese Ver.)' Teaser Clip,00:00:17,2017-08-15 15:00:05,212417,19928,528
51,h3aP1cxwCyk,SMTOWN,NCT DREAM 엔시티 드림 'We Young' MV,00:03:59,2017-08-17 10:00:07,27534313,898277,32203
52,NKj8m95H0Ko,SMTOWN,NCT DREAM 엔시티 드림 'We Young (青春漾) (Chinese Ver.)' MV,00:03:59,2017-08-18 04:00:00,818690,56447,1402
53,IoLG5HAOJds,NCT DREAM,[#4Ket] NCT DREAM_We Young #RENJUN,00:03:50,2017-08-23 01:00:00,47699,7967,298
54,CxtEwCpI3DM,NCT DREAM,[#4Ket] NCT DREAM_We Young #JISUNG,00:03:50,2017-08-23 01:00:00,64032,10160,209
55,AlpJS6TKnKs,NCT DREAM,[#4Ket] NCT DREAM_We Young #MARK,00:03:50,2017-08-23 01:00:01,24488,4285,72
56,B9p7Hn_H6uw,NCT DREAM,[#4Ket] NCT DREAM_We Young,00:03:50,2017-08-23 01:00:01,63388,7444,132
57,CVV3Xf_sZtA,NCT DREAM,[#4Ket] NCT DREAM_We Young #CHENLE,00:03:50,2017-08-23 01:00:01,29225,5314,156
58,WM85Acbp81M,SMTOWN,[#4Ket] NCT DREAM_We Young #CHENLE,00:03:50,2017-08-23 01:00:01,216199,15833,605
59,0QqGG6BjxZE,SMTOWN,[#4Ket] NCT DREAM_We Young #MARK,00:03:50,2017-08-23 01:00:01,137002,9132,281
60,6OtQWFV0lxI,SMTOWN,[#4Ket] NCT DREAM_We Young #JISUNG,00:03:50,2017-08-23 01:00:01,182502,13259,461
61,pzvc5LSa0_k,NCT DREAM,[#4Ket] NCT DREAM_We Young #HAECHAN,00:03:50,2017-08-23 01:00:03,24012,4142,87
62,mhysHm1FaGk,NCT DREAM,[#4Ket] NCT DREAM_We Young #JENO,00:03:50,2017-08-23 01:00:03,22812,4083,79
63,n-mh98uutGI,SMTOWN,[N'-3] SO WHAT? WE HOT! WE YOUNG!,00:01:08,2017-08-24 09:00:04,297424,27666,694
64,wF6Zq_MOG6E,SMTOWN,NCT DREAM 엔시티 드림 'We Young' Dance Practice,00:03:45,2017-08-26 03:00:02,4063026,191828,5320
65,DsDHns8ht04,SMTOWN,NCT DREAM 엔시티 드림 'We Young' Dance Practice #Moving Ver.,00:03:44,2017-08-28 03:00:00,3509315,143798,2873
66,vVZyIzJ1e04,SMTOWN,NCT 127 FAN MEETING in BANGKOK,00:00:53,2017-08-29 03:00:01,66481,5733,333
67,-zqwmuErDKg,SMTOWN,[#4Ket] NCT DREAM_Trigger the fever #JENO,00:03:28,2017-08-30 10:00:01,122774,8878,229
68,-nBZ1_niWAc,NCT DREAM,[#4Ket] NCT DREAM_Trigger the fever #HAECHAN,00:03:28,2017-08-30 10:00:01,26813,4181,67
